category,title,full_name,url,description,stars,pushed_at,language,license,already_in_catalog,triage_score
mcp_integrations,MCP & Tool Integrations,ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,41231,2026-05-23T12:47:51Z,TypeScript,Apache-2.0,False,91.3
mcp_integrations,MCP & Tool Integrations,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,A collection of MCP servers.,87641,2026-05-02T16:08:17Z,,MIT,False,91.2
mcp_integrations,MCP & Tool Integrations,ComposioHQ/composio,https://github.com/ComposioHQ/composio,"Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.",28406,2026-05-21T10:55:25Z,TypeScript,MIT,False,89.5
mcp_integrations,MCP & Tool Integrations,czlonkowski/n8n-mcp,https://github.com/czlonkowski/n8n-mcp,A MCP for Claude Desktop / Claude Code / Windsurf / Cursor to build n8n workflows for you ,21202,2026-05-23T15:26:22Z,TypeScript,MIT,False,88.1
mcp_integrations,MCP & Tool Integrations,modelcontextprotocol/registry,https://github.com/modelcontextprotocol/registry,A community driven registry service for Model Context Protocol (MCP) servers.,6849,2026-05-21T00:58:09Z,Go,NOASSERTION,False,82.6
rag_retrieval_search,"RAG, Retrieval & Search",pathwaycom/pathway,https://github.com/pathwaycom/pathway,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",63250,2026-05-23T05:17:33Z,Python,NOASSERTION,False,93.4
rag_retrieval_search,"RAG, Retrieval & Search",run-llama/llama_index,https://github.com/run-llama/llama_index,LlamaIndex is the leading document agent and OCR platform,49612,2026-05-20T21:38:30Z,Python,MIT,False,92.2
rag_retrieval_search,"RAG, Retrieval & Search",microsoft/graphrag,https://github.com/microsoft/graphrag,A modular graph-based Retrieval-Augmented Generation (RAG) system,33178,2026-05-19T22:28:07Z,Python,MIT,False,90.3
rag_retrieval_search,"RAG, Retrieval & Search",VectifyAI/PageIndex,https://github.com/VectifyAI/PageIndex,"📑 PageIndex: Document Index for Vectorless, Reasoning-based RAG",32027,2026-05-15T10:10:51Z,Python,MIT,False,90.1
rag_retrieval_search,"RAG, Retrieval & Search",deepset-ai/haystack,https://github.com/deepset-ai/haystack,"Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.",25352,2026-05-22T14:38:12Z,MDX,Apache-2.0,False,89.0
rag_retrieval_search,"RAG, Retrieval & Search",weaviate/Verba,https://github.com/weaviate/Verba,Retrieval Augmented Generation (RAG) chatbot powered by Weaviate,7707,2026-05-11T19:31:22Z,Python,BSD-3-Clause,False,83.2
memory_context_systems,Memory & Context Systems,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,"Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",77628,2026-05-21T10:26:19Z,TypeScript,Apache-2.0,False,94.4
memory_context_systems,Memory & Context Systems,lobehub/lobehub,https://github.com/lobehub/lobehub,"🤯 LobeHub is your Chief Agent Operator, organizing your agents into 7×24 operations by hiring, scheduling, and reporting on your entire AI team.",77592,2026-05-23T15:28:32Z,TypeScript,NOASSERTION,False,94.4
memory_context_systems,Memory & Context Systems,mem0ai/mem0,https://github.com/mem0ai/mem0,Universal memory layer for AI Agents,56504,2026-05-23T12:06:02Z,Python,Apache-2.0,True,92.8
memory_context_systems,Memory & Context Systems,MemPalace/mempalace,https://github.com/MemPalace/mempalace,The best-benchmarked open-source AI memory system. And it's free.,52707,2026-05-23T15:30:21Z,Python,MIT,True,92.5
memory_context_systems,Memory & Context Systems,volcengine/OpenViking,https://github.com/volcengine/OpenViking,"OpenViking is an open-source context database designed specifically for AI Agents(such as openclaw). OpenViking unifies the management of context (memory, resources, and skills) that Agents need through a file system paradigm, enabling hierarchical context delivery and self-evolving.",24548,2026-05-23T15:27:39Z,Python,AGPL-3.0,False,88.8
memory_context_systems,Memory & Context Systems,rohitg00/agentmemory,https://github.com/rohitg00/agentmemory,#1 Persistent memory for AI coding agents based on real-world benchmarks,16677,2026-05-22T18:23:11Z,TypeScript,Apache-2.0,False,86.9
knowledge_graphs,Knowledge Graphs,abhigyanpatwari/GitNexus,https://github.com/abhigyanpatwari/GitNexus,"GitNexus: The Zero-Server Code Intelligence Engine -       GitNexus is a client-side knowledge graph creator that runs entirely in your browser. Drop in a GitHub repo or ZIP file, and get an interactive knowledge graph wit a built in Graph RAG Agent. Perfect for code exploration",39862,2026-05-23T15:45:36Z,TypeScript,NOASSERTION,False,91.1
knowledge_graphs,Knowledge Graphs,microsoft/graphrag,https://github.com/microsoft/graphrag,A modular graph-based Retrieval-Augmented Generation (RAG) system,33178,2026-05-19T22:28:07Z,Python,MIT,False,90.3
knowledge_graphs,Knowledge Graphs,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,Build resilient agents.,32760,2026-05-22T16:57:50Z,Python,MIT,False,90.2
knowledge_graphs,Knowledge Graphs,getzep/graphiti,https://github.com/getzep/graphiti,Build Real-Time Knowledge Graphs for AI Agents,26416,2026-05-21T03:32:49Z,Python,Apache-2.0,True,89.2
knowledge_graphs,Knowledge Graphs,neo4j-labs/llm-graph-builder,https://github.com/neo4j-labs/llm-graph-builder,Neo4j graph construction from unstructured data using LLMs,4700,2026-05-05T12:19:13Z,Jupyter Notebook,Apache-2.0,True,77.1
evals_observability_promptops,"Evals, Observability & Prompt Ops",langfuse/langfuse,https://github.com/langfuse/langfuse,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",27773,2026-05-23T10:51:02Z,TypeScript,NOASSERTION,True,89.4
evals_observability_promptops,"Evals, Observability & Prompt Ops",promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,"Test your prompts, agents, and RAGs. Red teaming/pentesting/vulnerability scanning for AI. Compare performance of GPT, Claude, Gemini, DeepSeek, and more. Simple declarative configs with command line and CI/CD integration.  Used by OpenAI and Anthropic.",21529,2026-05-23T15:52:20Z,TypeScript,MIT,False,88.2
evals_observability_promptops,"Evals, Observability & Prompt Ops",comet-ml/opik,https://github.com/comet-ml/opik,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.",19359,2026-05-22T19:23:18Z,Python,Apache-2.0,False,87.7
evals_observability_promptops,"Evals, Observability & Prompt Ops",confident-ai/deepeval,https://github.com/confident-ai/deepeval,The LLM Evaluation Framework,15653,2026-05-23T08:45:36Z,Python,Apache-2.0,False,86.6
evals_observability_promptops,"Evals, Observability & Prompt Ops",Arize-ai/phoenix,https://github.com/Arize-ai/phoenix,AI Observability & Evaluation,9804,2026-05-23T03:54:26Z,Python,NOASSERTION,False,84.4
evals_observability_promptops,"Evals, Observability & Prompt Ops",Giskard-AI/giskard-oss,https://github.com/Giskard-AI/giskard-oss,🐢 Open-Source Evaluation & Testing library for LLM Agents,5364,2026-05-22T09:21:37Z,Python,Apache-2.0,False,81.5
document_ocr_parsing,"Documents, OCR & Parsing",microsoft/markitdown,https://github.com/microsoft/markitdown,Python tool for converting files and office documents to Markdown.,124773,2026-05-22T04:59:41Z,Python,MIT,True,96.6
document_ocr_parsing,"Documents, OCR & Parsing",opendatalab/MinerU,https://github.com/opendatalab/MinerU,Transforms complex documents like PDFs and Office docs into LLM-ready markdown/JSON for your Agentic workflows.,64613,2026-05-21T15:58:32Z,Python,NOASSERTION,True,93.5
document_ocr_parsing,"Documents, OCR & Parsing",VectifyAI/PageIndex,https://github.com/VectifyAI/PageIndex,"📑 PageIndex: Document Index for Vectorless, Reasoning-based RAG",32027,2026-05-15T10:10:51Z,Python,MIT,False,90.1
document_ocr_parsing,"Documents, OCR & Parsing",datalab-to/marker,https://github.com/datalab-to/marker,Convert PDF to markdown + JSON quickly with high accuracy,35362,2026-05-05T08:04:51Z,Python,GPL-3.0,False,86.8
document_ocr_parsing,"Documents, OCR & Parsing",Unstructured-IO/unstructured,https://github.com/Unstructured-IO/unstructured,"Convert documents to structured data effortlessly. Unstructured is open-source ETL solution for transforming complex documents into clean, structured formats for language models.  Visit our website to learn more about our enterprise grade Platform product for production grade workflows, partitioning, enrichments, chunking and embedding.",14764,2026-05-22T23:35:25Z,HTML,Apache-2.0,False,86.3
document_ocr_parsing,"Documents, OCR & Parsing",getomni-ai/zerox,https://github.com/getomni-ai/zerox,OCR & Document Extraction using vision models,12231,2025-05-20T00:39:18Z,TypeScript,MIT,False,65.4
cloudflare_edge_backend,"Cloudflare, Edge & Backend",cloudflare/workerd,https://github.com/cloudflare/workerd,The JavaScript / Wasm runtime that powers Cloudflare Workers,8240,2026-05-23T11:33:31Z,C++,Apache-2.0,False,83.5
cloudflare_edge_backend,"Cloudflare, Edge & Backend",cloudflare/agents,https://github.com/cloudflare/agents,Build and deploy AI Agents on Cloudflare ,4953,2026-05-22T18:29:28Z,TypeScript,MIT,True,81.1
cloudflare_edge_backend,"Cloudflare, Edge & Backend",cloudflare/workers-sdk,https://github.com/cloudflare/workers-sdk,"⛅️ Home to Wrangler, the CLI for Cloudflare Workers®",4085,2026-05-23T10:27:29Z,TypeScript,Apache-2.0,False,80.1
cloudflare_edge_backend,"Cloudflare, Edge & Backend",cloudflare/templates,https://github.com/cloudflare/templates,Templates for Cloudflare Workers,1965,2026-04-24T16:00:20Z,TypeScript,MIT,False,72.9
cloudflare_edge_backend,"Cloudflare, Edge & Backend",cloudflare/workers-ai-provider,https://github.com/cloudflare/workers-ai-provider,A Workers AI provider for the vercel AI SDK,114,2025-03-18T15:24:07Z,TypeScript,,False,42.9
database_storage_sqlite,"Databases, Storage & SQLite",supabase/supabase,https://github.com/supabase/supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",102907,2026-05-23T14:14:38Z,TypeScript,Apache-2.0,False,95.7
database_storage_sqlite,"Databases, Storage & SQLite",redis/redis,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",74513,2026-05-21T12:32:57Z,C,NOASSERTION,False,94.2
database_storage_sqlite,"Databases, Storage & SQLite",milvus-io/milvus,https://github.com/milvus-io/milvus,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",44417,2026-05-23T13:40:31Z,Go,Apache-2.0,False,91.7
database_storage_sqlite,"Databases, Storage & SQLite",qdrant/qdrant,https://github.com/qdrant/qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",31522,2026-05-23T12:48:47Z,Rust,Apache-2.0,False,90.0
database_storage_sqlite,"Databases, Storage & SQLite",chroma-core/chroma,https://github.com/chroma-core/chroma,Search infrastructure for AI,28065,2026-05-23T00:22:55Z,Rust,Apache-2.0,False,89.4
database_storage_sqlite,"Databases, Storage & SQLite",weaviate/weaviate,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",16229,2026-05-23T15:42:55Z,Go,BSD-3-Clause,False,86.8
database_storage_sqlite,"Databases, Storage & SQLite",lancedb/lancedb,https://github.com/lancedb/lancedb,Developer-friendly OSS embedded retrieval library for multimodal AI. Search More; Manage Less.,10382,2026-05-23T14:58:50Z,HTML,Apache-2.0,False,84.6
frontend_ui_desktop_browser,"Frontend, UI, Desktop & Browser Automation",openclaw/openclaw,https://github.com/openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,374135,2026-05-23T15:47:11Z,TypeScript,MIT,False,100.0
frontend_ui_desktop_browser,"Frontend, UI, Desktop & Browser Automation",microsoft/playwright,https://github.com/microsoft/playwright,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",89271,2026-05-23T12:22:45Z,TypeScript,Apache-2.0,False,95.0
frontend_ui_desktop_browser,"Frontend, UI, Desktop & Browser Automation",vercel-labs/agent-browser,https://github.com/vercel-labs/agent-browser,Browser automation CLI for AI agents,34062,2026-05-20T18:45:45Z,Rust,Apache-2.0,False,90.4
frontend_ui_desktop_browser,"Frontend, UI, Desktop & Browser Automation",CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit,The Frontend Stack for Agents & Generative UI. React + Angular.  Makers of the AG-UI Protocol,31692,2026-05-23T05:09:16Z,TypeScript,MIT,True,90.0
frontend_ui_desktop_browser,"Frontend, UI, Desktop & Browser Automation",simular-ai/Agent-S,https://github.com/simular-ai/Agent-S,Agent S: an open agentic framework that uses computers like a human,11580,2026-05-13T07:28:44Z,Python,Apache-2.0,False,85.2
frontend_ui_desktop_browser,"Frontend, UI, Desktop & Browser Automation",assistant-ui/assistant-ui,https://github.com/assistant-ui/assistant-ui,Typescript/React Library for AI Chat💬🚀,10198,2026-05-23T01:16:13Z,TypeScript,MIT,False,84.6
developer_tools_cli,Developer Tools & CLI,anthropics/claude-code,https://github.com/anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",125950,2026-05-23T04:03:51Z,Shell,,False,96.7
developer_tools_cli,Developer Tools & CLI,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,104516,2026-05-23T12:40:16Z,TypeScript,Apache-2.0,False,95.8
developer_tools_cli,Developer Tools & CLI,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,84832,2026-05-23T05:55:24Z,Rust,Apache-2.0,False,94.8
developer_tools_cli,Developer Tools & CLI,OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,🙌 OpenHands: AI-Driven Development,74631,2026-05-23T15:54:01Z,Python,NOASSERTION,False,94.2
developer_tools_cli,Developer Tools & CLI,cline/cline,https://github.com/cline/cline,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant.",62212,2026-05-23T00:45:59Z,TypeScript,Apache-2.0,False,93.3
developer_tools_cli,Developer Tools & CLI,Aider-AI/aider,https://github.com/Aider-AI/aider,aider is AI pair programming in your terminal,45202,2026-05-22T14:02:20Z,Python,Apache-2.0,False,91.7
developer_tools_cli,Developer Tools & CLI,continuedev/continue,https://github.com/continuedev/continue,"⏩ Source-controlled AI checks, enforceable in CI. Powered by the open-source Continue CLI",33335,2026-05-22T21:54:01Z,TypeScript,Apache-2.0,False,90.3
learning_references_awesome,"Learning, Guides & Awesome Lists",microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI ",111298,2026-05-23T12:30:52Z,Jupyter Notebook,MIT,False,96.1
learning_references_awesome,"Learning, Guides & Awesome Lists",patchy631/ai-engineering-hub,https://github.com/patchy631/ai-engineering-hub,"In-depth tutorials on LLMs, RAGs and real-world AI agent applications.",35192,2026-05-21T10:45:44Z,Jupyter Notebook,MIT,False,90.5
learning_references_awesome,"Learning, Guides & Awesome Lists",aishwaryanr/awesome-generative-ai-guide,https://github.com/aishwaryanr/awesome-generative-ai-guide,"A one stop repository for generative AI research updates, interview resources, notebooks and much more!",26830,2026-05-19T21:20:54Z,HTML,MIT,False,89.2
learning_references_awesome,"Learning, Guides & Awesome Lists",VoltAgent/awesome-agent-skills,https://github.com/VoltAgent/awesome-agent-skills,"A curated collection of 1000+ agent skills from official dev teams and the community, compatible with Claude Code, Codex, Gemini CLI, Cursor, and more.",22817,2026-05-10T14:33:57Z,,MIT,False,88.4
learning_references_awesome,"Learning, Guides & Awesome Lists",NirDiamant/GenAI_Agents,https://github.com/NirDiamant/GenAI_Agents,"50+ tutorials and implementations for Generative AI Agent techniques, from basic conversational bots to complex multi-agent systems.",22183,2026-05-15T18:24:27Z,Jupyter Notebook,NOASSERTION,False,88.3
learning_references_awesome,"Learning, Guides & Awesome Lists",e2b-dev/awesome-ai-agents,https://github.com/e2b-dev/awesome-ai-agents,A list of AI autonomous agents,27972,2025-02-26T10:04:45Z,,NOASSERTION,False,69.4
research_papers_science,"Research, Papers & Science",hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,"Making large AI models cheaper, faster and more accessible",41391,2026-05-18T17:43:27Z,Python,Apache-2.0,False,91.3
research_papers_science,"Research, Papers & Science",microsoft/autogen,https://github.com/microsoft/autogen,A programming framework for agentic AI,58316,2026-04-15T11:59:09Z,Python,CC-BY-4.0,False,89.2
research_papers_science,"Research, Papers & Science",OpenBMB/MiniCPM-V,https://github.com/OpenBMB/MiniCPM-V,A Pocket-Sized MLLM for Ultra-Efficient Image and Video Understanding on Your Phone,25209,2026-05-19T04:01:49Z,Python,Apache-2.0,False,88.9
research_papers_science,"Research, Papers & Science",SWE-agent/SWE-agent,https://github.com/SWE-agent/SWE-agent,"SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] ",19280,2026-05-18T23:39:14Z,Python,MIT,False,87.6
research_papers_science,"Research, Papers & Science",SWE-bench/SWE-bench,https://github.com/SWE-bench/SWE-bench,SWE-bench: Can Language Models Resolve Real-world Github Issues?,4998,2026-04-01T05:16:30Z,Python,MIT,False,77.4
security_safety_supply_chain,"Security, Safety & Supply Chain",KeygraphHQ/shannon,https://github.com/KeygraphHQ/shannon,"Shannon Lite is an autonomous, white-box AI pentester for web applications and APIs. It analyzes your source code, identifies attack vectors, and executes real exploits to prove vulnerabilities before they reach production.",43555,2026-05-20T18:53:46Z,TypeScript,AGPL-3.0,False,91.6
security_safety_supply_chain,"Security, Safety & Supply Chain",promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,"Test your prompts, agents, and RAGs. Red teaming/pentesting/vulnerability scanning for AI. Compare performance of GPT, Claude, Gemini, DeepSeek, and more. Simple declarative configs with command line and CI/CD integration.  Used by OpenAI and Anthropic.",21529,2026-05-23T15:52:20Z,TypeScript,MIT,False,88.2
security_safety_supply_chain,"Security, Safety & Supply Chain",analysis-tools-dev/static-analysis,https://github.com/analysis-tools-dev/static-analysis,"⚙️ A curated list of static analysis (SAST) tools and linters for all programming languages, config files, build tools, and more. The focus is on tools which improve code quality.",14565,2026-05-18T19:15:55Z,Rust,MIT,False,86.3
security_safety_supply_chain,"Security, Safety & Supply Chain",alibaba/OpenSandbox,https://github.com/alibaba/OpenSandbox,"Secure, Fast, and Extensible Sandbox runtime for AI agents.",10781,2026-05-22T03:20:24Z,Python,Apache-2.0,False,84.8
security_safety_supply_chain,"Security, Safety & Supply Chain",mukul975/Anthropic-Cybersecurity-Skills,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,"754 structured cybersecurity skills for AI agents · Mapped to 5 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND & NIST AI RMF · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 26 security domains · Apache 2.0",7068,2026-05-13T09:07:15Z,Python,Apache-2.0,False,82.8
security_safety_supply_chain,"Security, Safety & Supply Chain",protectai/rebuff,https://github.com/protectai/rebuff,LLM Prompt Injection Detector,1487,2024-08-07T23:35:48Z,TypeScript,Apache-2.0,False,55.3
communications_personal_ops,Communications & Personal Ops,n8n-io/n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",189377,2026-05-23T15:35:24Z,TypeScript,NOASSERTION,False,98.7
communications_personal_ops,Communications & Personal Ops,sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。",58070,2026-05-23T12:28:32Z,Python,GPL-3.0,False,93.0
communications_personal_ops,Communications & Personal Ops,zhayujie/CowAgent,https://github.com/zhayujie/CowAgent,CowAgent (chatgpt-on-wechat) 是基于大模型的超级AI助理，能主动思考和任务规划、访问操作系统和外部资源、创造和执行Skills、通过长期记忆和知识库不断成长，比OpenClaw更轻量和便捷。同时支持微信、飞书、钉钉、企微、QQ、公众号、网页等接入，可选择DeepSeek/OpenAI/Claude/Gemini/ MiniMax/Qwen/GLM/LinkAI，能处理文本、语音、图片和文件，可快速搭建个人AI助理和企业数字员工。,44741,2026-05-23T12:43:38Z,Python,MIT,False,91.7
communications_personal_ops,Communications & Personal Ops,czlonkowski/n8n-mcp,https://github.com/czlonkowski/n8n-mcp,A MCP for Claude Desktop / Claude Code / Windsurf / Cursor to build n8n workflows for you ,21202,2026-05-23T15:26:22Z,TypeScript,MIT,False,88.1
communications_personal_ops,Communications & Personal Ops,enescingoz/awesome-n8n-templates,https://github.com/enescingoz/awesome-n8n-templates,"280+ free n8n automation templates — ready-to-use workflows for Gmail, Telegram, Slack, Discord, WhatsApp, Google Drive, Notion, OpenAI, and more. AI agents, RAG   chatbots, email automation, social media, DevOps, and document processing. The largest open-source n8n template collection.",22405,2026-04-09T17:13:26Z,,NOASSERTION,False,84.6
communications_personal_ops,Communications & Personal Ops,chenhg5/cc-connect,https://github.com/chenhg5/cc-connect,"Bridge local AI coding agents (Claude Code, Cursor, Gemini CLI, Codex) to messaging platforms (Feishu/Lark, DingTalk, Slack, Telegram, Discord, LINE, WeChat Work). Chat with your AI dev assistant from anywhere — no public IP required for most platforms.",10253,2026-05-23T13:28:34Z,Go,,False,84.6
agent_protocols_interop,Agent Protocols & Interoperability,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers,86124,2026-05-21T18:10:38Z,TypeScript,NOASSERTION,False,94.9
agent_protocols_interop,Agent Protocols & Interoperability,a2aproject/A2A,https://github.com/a2aproject/A2A,Agent2Agent (A2A) is an open protocol enabling communication and interoperability between opaque agentic applications.,23932,2026-05-23T14:51:40Z,Shell,Apache-2.0,False,88.7
agent_protocols_interop,Agent Protocols & Interoperability,ag-ui-protocol/ag-ui,https://github.com/ag-ui-protocol/ag-ui,AG-UI: the Agent-User Interaction Protocol. Bring Agents into Frontend Applications.,13763,2026-05-22T23:54:13Z,Python,MIT,False,86.0
agent_protocols_interop,Agent Protocols & Interoperability,modelcontextprotocol/registry,https://github.com/modelcontextprotocol/registry,A community driven registry service for Model Context Protocol (MCP) servers.,6849,2026-05-21T00:58:09Z,Go,NOASSERTION,False,82.6
agent_protocols_interop,Agent Protocols & Interoperability,CopilotKit/generative-ui,https://github.com/CopilotKit/generative-ui,"Generative UI examples for: AG-UI, A2UI/Open-JSON-UI, and MCP Apps.",717,2026-03-20T19:55:36Z,,,False,63.0
sandboxed_code_execution,Sandboxed Code Execution,daytonaio/daytona,https://github.com/daytonaio/daytona,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,72469,2026-05-23T00:57:12Z,TypeScript,AGPL-3.0,False,94.0
sandboxed_code_execution,Sandboxed Code Execution,ComposioHQ/composio,https://github.com/ComposioHQ/composio,"Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.",28406,2026-05-21T10:55:25Z,TypeScript,MIT,False,89.5
sandboxed_code_execution,Sandboxed Code Execution,e2b-dev/E2B,https://github.com/e2b-dev/E2B,"Open-source, secure environment with real-world tools for enterprise-grade agents.",12334,2026-05-23T05:30:58Z,Python,Apache-2.0,False,85.5
sandboxed_code_execution,Sandboxed Code Execution,alibaba/OpenSandbox,https://github.com/alibaba/OpenSandbox,"Secure, Fast, and Extensible Sandbox runtime for AI agents.",10781,2026-05-22T03:20:24Z,Python,Apache-2.0,False,84.8
